State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Punjab,Barnala,Barnala,Other,Vegetables,2.71,1250,1800,1525,2019-12-01
Punjab,Bhatinda,Maur,Other,Vegetables,0.90,1300,1500,1400,2019-12-01
Punjab,Bhatinda,Raman,Other,Vegetables,0.20,1200,1600,1500,2019-12-01
Punjab,Ferozpur,Ferozepur Cantt.,Tomato,Vegetables,0.15,1500,1700,1600,2019-12-01
Punjab,Ferozpur,Guru Har Sahai,Tomato,Vegetables,1.22,1400,1600,1500,2019-12-01
Punjab,Ferozpur,Makhu,Other,Vegetables,0.40,1300,1500,1400,2019-12-01
Punjab,Ferozpur,Zira,Tomato,Vegetables,0.30,1200,1800,1500,2019-12-01
Punjab,Gurdaspur,Batala,Other,Vegetables,2.30,1400,1600,1500,2019-12-01
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,0.80,1500,1700,1700,2019-12-01
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,12.40,1500,2000,1800,2019-12-01
Punjab,Hoshiarpur,Mukerian(Talwara),Tomato,Vegetables,0.30,1800,2350,2150,2019-12-01
Punjab,Mansa,Mansa,Tomato,Vegetables,1.60,1000,1500,1200,2019-12-01
Punjab,Mohali,Banur (Kheragaju),Deshi,Vegetables,0.30,1500,1800,1800,2019-12-01
Punjab,Mohali,Dera Bassi,Other,Vegetables,0.10,2400,2800,2600,2019-12-01
Punjab,Mohali,Kharar,Tomato,Vegetables,1.10,1200,1600,1400,2019-12-01
Punjab,Muktsar,Giddarbaha,Tomato,Vegetables,0.80,1200,1600,1300,2019-12-01
Punjab,Muktsar,Muktsar,Tomato,Vegetables,6.00,1200,1500,1350,2019-12-01
Punjab,Patiala,Nabha,Other,Vegetables,6.80,1000,1700,1300,2019-12-01
Punjab,Patiala,Patran,Other,Vegetables,1.80,1000,1500,1184,2019-12-01
Punjab,Patiala,Rajpura,Local,Vegetables,3.20,1200,2000,1600,2019-12-01
Punjab,Patiala,Samana,Hybrid,Vegetables,1.30,1000,1600,1200,2019-12-01
Punjab,Sangrur,Bhawanigarh,Other,Vegetables,0.80,1100,1400,1200,2019-12-01
Punjab,Sangrur,Dhuri,Other,Vegetables,0.40,1400,1900,1700,2019-12-01
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.70,2700,3000,3000,2019-12-01
Punjab,Sangrur,Malerkotla,Other,Vegetables,6.00,1650,2000,1800,2019-12-01
Punjab,Sangrur,Sangrur,Tomato,Vegetables,2.10,1100,1400,1300,2019-12-01
Punjab,Tarntaran,Patti,Other,Vegetables,0.28,2000,2600,2400,2019-12-01
-,-,-,-,Punjab Sub Total,54.96,-,-,-,
-,-,-,-,Total:-,54.96,-,-,-,
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi),Tomato,Vegetables,121.50,600,1400,1100,2019-12-02
Punjab,Amritsar,Rayya,Hybrid,Vegetables,0.25,2600,2600,2600,2019-12-02
Punjab,Barnala,Barnala,Other,Vegetables,2.79,1200,1500,1350,2019-12-02
Punjab,Bhatinda,Bathinda,Other,Vegetables,4.50,1000,1500,1200,2019-12-02
Punjab,Bhatinda,Maur,Other,Vegetables,0.40,1200,1500,1400,2019-12-02
Punjab,Faridkot,Faridkot,Tomato,Vegetables,1.34,1000,1500,1300,2019-12-02
Punjab,Faridkot,Jaitu,Deshi,Vegetables,0.24,1600,1800,1600,2019-12-02
Punjab,Fatehgarh,Bassi Pathana,Tomato,Vegetables,1.00,2000,2500,2200,2019-12-02
Punjab,Fatehgarh,Khamano,Tomato,Vegetables,0.10,2500,2500,2500,2019-12-02
Punjab,Fatehgarh,Sirhind,Other,Vegetables,3.60,1100,1500,1300,2019-12-02
Punjab,Fazilka,Abohar,Tomato,Vegetables,7.54,1150,1510,1336,2019-12-02
Punjab,Fazilka,Jalalabad,Other,Vegetables,0.32,2200,2500,2300,2019-12-02
Punjab,Ferozpur,Ferozepur Cantt.,Tomato,Vegetables,0.04,1400,1600,1500,2019-12-02
Punjab,Ferozpur,Makhu,Other,Vegetables,0.40,1300,1500,1400,2019-12-02
Punjab,Ferozpur,Zira,Tomato,Vegetables,0.20,1500,2000,1700,2019-12-02
Punjab,Gurdaspur,Batala,Other,Vegetables,2.80,1500,2500,2000,2019-12-02
Punjab,Gurdaspur,Dinanagar,Tomato,Vegetables,0.90,1800,2050,2000,2019-12-02
Punjab,Gurdaspur,Gurdaspur,Other,Vegetables,2.30,2200,2500,2300,2019-12-02
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,1.00,1300,1500,1500,2019-12-02
Punjab,Hoshiarpur,Garh Shankar,Deshi,Vegetables,1.60,1600,2000,1800,2019-12-02
Punjab,Hoshiarpur,Garh Shankar(Mahalpur),Tomato,Vegetables,0.85,2000,2500,2200,2019-12-02
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi),Other,Vegetables,0.10,1800,2200,2000,2019-12-02
Punjab,Hoshiarpur,Mukerian,Tomato,Vegetables,1.70,3000,4000,3600,2019-12-02
Punjab,Hoshiarpur,Mukerian(Talwara),Tomato,Vegetables,0.30,1600,2250,1800,2019-12-02
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,1.00,1800,2100,2000,2019-12-02
Punjab,Jalandhar,Adampur,Other,Vegetables,1.00,1500,1800,1800,2019-12-02
Punjab,Jalandhar,Goraya,Other,Vegetables,0.20,1400,1400,1400,2019-12-02
Punjab,Jalandhar,Jalandhar City(Jalandhar),Other,Vegetables,106.00,400,900,550,2019-12-02
Punjab,Jalandhar,Nakodar,Other,Vegetables,0.10,1500,1500,1500,2019-12-02
Punjab,kapurthala,Phagwara,Other,Vegetables,16.80,1150,1415,1254,2019-12-02
Punjab,Ludhiana,Jagraon,Other,Vegetables,2.00,2300,2500,2400,2019-12-02
Punjab,Ludhiana,Sahnewal,Tomato,Vegetables,0.10,1833,1833,1833,2019-12-02
Punjab,Ludhiana,Samrala,Other,Vegetables,1.00,1800,2200,2000,2019-12-02
Punjab,Mansa,Mansa,Tomato,Vegetables,1.00,1100,1600,1400,2019-12-02
Punjab,Moga,Baghapurana,Tomato,Vegetables,0.30,1500,2000,1800,2019-12-02
Punjab,Mohali,Banur (Kheragaju),Deshi,Vegetables,0.40,1000,1500,1500,2019-12-02
Punjab,Mohali,Dera Bassi,Other,Vegetables,0.10,2400,2800,2600,2019-12-02
Punjab,Mohali,Kharar,Tomato,Vegetables,1.20,1200,1600,1400,2019-12-02
Punjab,Muktsar,Bariwala,Other,Vegetables,0.03,2000,2000,2000,2019-12-02
Punjab,Muktsar,Giddarbaha,Tomato,Vegetables,0.40,1400,1600,1500,2019-12-02
Punjab,Muktsar,Malout,Tomato,Vegetables,2.60,800,1500,1000,2019-12-02
Punjab,Muktsar,Muktsar,Tomato,Vegetables,3.00,1200,1600,1500,2019-12-02
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Other,Vegetables,1.25,1800,2500,2300,2019-12-02
Punjab,Pathankot,Pathankot,Tomato,Vegetables,27.70,1200,1400,1300,2019-12-02
Punjab,Patiala,Nabha,Other,Vegetables,3.30,1000,1700,1300,2019-12-02
Punjab,Patiala,Patiala,Tomato,Vegetables,31.00,2500,3500,3000,2019-12-02
Punjab,Patiala,Patran,Other,Vegetables,2.00,1100,1800,1312,2019-12-02
Punjab,Patiala,Rajpura,Local,Vegetables,1.60,1500,2000,1750,2019-12-02
Punjab,Sangrur,Bhawanigarh,Other,Vegetables,0.50,1200,1600,1400,2019-12-02
Punjab,Sangrur,Dhuri,Other,Vegetables,0.40,1450,1700,1550,2019-12-02
Punjab,Sangrur,Malerkotla,Other,Vegetables,5.20,1600,2000,1800,2019-12-02
Punjab,Sangrur,Sangrur,Tomato,Vegetables,1.70,1200,1300,1300,2019-12-02
Punjab,Sangrur,Sunam,Tomato,Vegetables,0.80,1500,2000,1800,2019-12-02
Punjab,Tarntaran,Tarantaran,Other,Vegetables,0.40,1800,3000,2500,2019-12-02
-,-,-,-,Punjab Sub Total,368.85,-,-,-,
-,-,-,-,Total:-,368.85,-,-,-,
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi),Tomato,Vegetables,154.50,500,1500,1000,2019-12-03
Punjab,Amritsar,Rayya,Hybrid,Vegetables,0.30,2500,2500,2500,2019-12-03
Punjab,Barnala,Barnala,Other,Vegetables,1.65,1200,1400,1300,2019-12-03
Punjab,Bhatinda,Bathinda,Other,Vegetables,20.60,1000,1500,1000,2019-12-03
Punjab,Bhatinda,Bhagta Bhai Ka,Other,Vegetables,0.20,2000,2000,2000,2019-12-03
Punjab,Bhatinda,Goniana,Other,Vegetables,0.20,1500,1800,1800,2019-12-03
Punjab,Bhatinda,Maur,Other,Vegetables,0.60,1100,1300,1200,2019-12-03
Punjab,Bhatinda,Raman,Other,Vegetables,0.40,1300,1600,1500,2019-12-03
Punjab,Bhatinda,Talwandi Sabo,Other,Vegetables,0.30,1000,1300,1200,2019-12-03
Punjab,Faridkot,Faridkot,Tomato,Vegetables,1.50,1000,1500,1200,2019-12-03
Punjab,Faridkot,Jaitu,Deshi,Vegetables,0.25,2200,2200,2200,2019-12-03
Punjab,Fatehgarh,Bassi Pathana,Tomato,Vegetables,1.50,1800,2200,2000,2019-12-03
Punjab,Fatehgarh,Sirhind,Other,Vegetables,2.90,1300,1500,1400,2019-12-03
Punjab,Fazilka,Abohar,Tomato,Vegetables,8.84,1300,1726,1532,2019-12-03
Punjab,Fazilka,Jalalabad,Other,Vegetables,0.59,2200,2500,2300,2019-12-03
Punjab,Ferozpur,Firozepur City,Other,Vegetables,4.00,1000,1300,1150,2019-12-03
Punjab,Ferozpur,Makhu,Other,Vegetables,0.20,1300,1500,1400,2019-12-03
Punjab,Ferozpur,Mamdot,Other,Vegetables,0.20,1500,1600,1550,2019-12-03
Punjab,Ferozpur,Zira,Tomato,Vegetables,0.40,1200,1800,1500,2019-12-03
Punjab,Gurdaspur,Batala,Other,Vegetables,2.50,1400,1600,1500,2019-12-03
Punjab,Gurdaspur,Dinanagar,Tomato,Vegetables,1.20,1800,2200,2000,2019-12-03
Punjab,Gurdaspur,F.G.Churian,Tomato,Vegetables,0.12,1980,2010,1990,2019-12-03
Punjab,Gurdaspur,Gurdaspur,Other,Vegetables,1.90,1800,2000,1900,2019-12-03
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,1.50,1500,1700,1700,2019-12-03
Punjab,Hoshiarpur,Garh Shankar,Deshi,Vegetables,0.58,1500,2000,1700,2019-12-03
Punjab,Hoshiarpur,Garh Shankar(Mahalpur),Tomato,Vegetables,1.70,1500,2500,2000,2019-12-03
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi),Other,Vegetables,0.10,1800,2000,1900,2019-12-03
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,11.00,1500,2000,1800,2019-12-03
Punjab,Hoshiarpur,Mukerian,Tomato,Vegetables,1.40,3000,4000,3600,2019-12-03
Punjab,Hoshiarpur,Mukerian(Talwara),Tomato,Vegetables,0.29,1800,2350,2100,2019-12-03
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,0.70,1200,1600,1400,2019-12-03
Punjab,Jalandhar,Adampur,Other,Vegetables,0.70,1500,1800,1800,2019-12-03
Punjab,Jalandhar,Goraya,Other,Vegetables,0.20,1300,1300,1300,2019-12-03
Punjab,Jalandhar,Jalandhar City(Jalandhar),Other,Vegetables,50.80,400,1200,800,2019-12-03
Punjab,Jalandhar,Mehatpur,Local,Vegetables,0.05,2500,2500,2500,2019-12-03
Punjab,Jalandhar,Nakodar,Other,Vegetables,0.10,1400,1400,1400,2019-12-03
Punjab,kapurthala,Phagwara,Other,Vegetables,9.40,800,1500,1286,2019-12-03
Punjab,Ludhiana,Jagraon,Other,Vegetables,2.40,2300,2700,2500,2019-12-03
Punjab,Ludhiana,Khanna,Other,Vegetables,171.00,1000,1800,1500,2019-12-03
Punjab,Ludhiana,Samrala,Other,Vegetables,0.90,1800,2200,2000,2019-12-03
Punjab,Moga,Baghapurana,Tomato,Vegetables,0.40,1500,2000,1800,2019-12-03
Punjab,Mohali,Banur (Kheragaju),Deshi,Vegetables,0.40,1500,2000,2000,2019-12-03
Punjab,Mohali,Dera Bassi,Other,Vegetables,0.10,2400,2800,2600,2019-12-03
Punjab,Mohali,Kharar,Tomato,Vegetables,1.00,1200,1800,1500,2019-12-03
Punjab,Mohali,Kurali,Other,Vegetables,1.00,2200,2500,2400,2019-12-03
Punjab,Muktsar,Bariwala,Other,Vegetables,0.04,2000,2000,2000,2019-12-03
Punjab,Muktsar,Giddarbaha,Tomato,Vegetables,0.50,1400,1600,1500,2019-12-03
Punjab,Muktsar,Malout,Tomato,Vegetables,2.90,1000,1500,1200,2019-12-03
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Other,Vegetables,1.08,1500,2000,1800,2019-12-03
Punjab,Pathankot,Pathankot,Tomato,Vegetables,14.00,1000,1500,1250,2019-12-03
Punjab,Patiala,Dudhansadhan,Other,Vegetables,0.30,1500,2200,2000,2019-12-03
Punjab,Patiala,Nabha,Other,Vegetables,4.90,1000,1700,1300,2019-12-03
Punjab,Patiala,Patiala,Tomato,Vegetables,14.00,2500,3500,3000,2019-12-03
Punjab,Patiala,Patran,Other,Vegetables,2.10,1000,1500,1190,2019-12-03
Punjab,Patiala,Rajpura,Local,Vegetables,4.50,1500,2000,1750,2019-12-03
Punjab,Sangrur,Bhawanigarh,Other,Vegetables,0.90,1000,1400,1200,2019-12-03
Punjab,Sangrur,Dhuri,Other,Vegetables,0.20,1300,1500,1400,2019-12-03
Punjab,Sangrur,Malerkotla,Other,Vegetables,5.00,1600,2000,1800,2019-12-03
Punjab,Sangrur,Sangrur,Tomato,Vegetables,2.20,900,1300,1100,2019-12-03
Punjab,Sangrur,Sunam,Tomato,Vegetables,1.00,1500,2500,2000,2019-12-03
Punjab,Tarntaran,Patti,Other,Vegetables,0.40,1800,2200,2000,2019-12-03
Punjab,Tarntaran,Tarantaran,Other,Vegetables,0.60,1800,3000,2500,2019-12-03
-,-,-,-,Punjab Sub Total,515.19,-,-,-,
-,-,-,-,Total:-,515.19,-,-,-,
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi),Tomato,Vegetables,59.50,600,1300,1000,2019-12-04
Punjab,Amritsar,Rayya,Hybrid,Vegetables,0.30,2500,2500,2500,2019-12-04
Punjab,Barnala,Barnala,Other,Vegetables,1.66,1100,1260,1180,2019-12-04
Punjab,Bhatinda,Bathinda,Other,Vegetables,20.60,1000,1500,1500,2019-12-04
Punjab,Bhatinda,Bhagta Bhai Ka,Other,Vegetables,0.10,1800,1800,1800,2019-12-04
Punjab,Bhatinda,Bhucho,Other,Vegetables,0.10,2500,2800,2700,2019-12-04
Punjab,Bhatinda,Goniana,Other,Vegetables,0.15,1500,1800,1800,2019-12-04
Punjab,Bhatinda,Maur,Other,Vegetables,0.30,1000,1300,1200,2019-12-04
Punjab,Bhatinda,Raman,Other,Vegetables,0.30,1400,1600,1550,2019-12-04
Punjab,Bhatinda,Talwandi Sabo,Other,Vegetables,0.20,1100,1300,1200,2019-12-04
Punjab,Faridkot,Faridkot,Tomato,Vegetables,1.81,1200,1500,1250,2019-12-04
Punjab,Faridkot,Jaitu,Deshi,Vegetables,0.25,1800,2200,1800,2019-12-04
Punjab,Fatehgarh,Bassi Pathana,Tomato,Vegetables,1.50,2000,2500,2200,2019-12-04
Punjab,Fatehgarh,Sirhind,Other,Vegetables,2.50,1300,1500,1400,2019-12-04
Punjab,Fazilka,Abohar,Tomato,Vegetables,5.05,2073,2707,2572,2019-12-04
Punjab,Fazilka,Jalalabad,Other,Vegetables,0.75,1300,1500,1400,2019-12-04
Punjab,Ferozpur,Ferozepur Cantt.,Tomato,Vegetables,0.04,1100,1300,1200,2019-12-04
Punjab,Ferozpur,Firozepur City,Other,Vegetables,4.50,1000,1500,1250,2019-12-04
Punjab,Ferozpur,Makhu,Other,Vegetables,0.20,1300,1500,1400,2019-12-04
Punjab,Ferozpur,Zira,Tomato,Vegetables,0.30,1300,2000,1600,2019-12-04
Punjab,Gurdaspur,Batala,Other,Vegetables,1.90,1400,1600,1500,2019-12-04
Punjab,Gurdaspur,Dinanagar,Tomato,Vegetables,0.80,2000,2100,2050,2019-12-04
Punjab,Gurdaspur,Gurdaspur,Other,Vegetables,1.90,2000,2500,2200,2019-12-04
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,1.50,1500,1800,1800,2019-12-04
Punjab,Hoshiarpur,Garh Shankar(Mahalpur),Tomato,Vegetables,1.60,1400,1800,1500,2019-12-04
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,10.00,1500,2000,1800,2019-12-04
Punjab,Hoshiarpur,Mukerian,Tomato,Vegetables,1.30,3000,4000,3400,2019-12-04
Punjab,Hoshiarpur,Mukerian(Talwara),Tomato,Vegetables,0.30,1800,2450,2200,2019-12-04
Punjab,Hoshiarpur,Tanda Urmur,Other,Vegetables,0.90,1300,1500,1400,2019-12-04
Punjab,Jalandhar,Adampur,Other,Vegetables,0.80,1500,1800,1800,2019-12-04
Punjab,Jalandhar,Goraya,Other,Vegetables,0.20,1300,1300,1300,2019-12-04
Punjab,Jalandhar,Jalandhar City(Jalandhar),Other,Vegetables,48.80,400,1200,800,2019-12-04
Punjab,Jalandhar,Nakodar,Other,Vegetables,0.10,1500,1500,1500,2019-12-04
Punjab,kapurthala,Phagwara,Other,Vegetables,7.30,1000,1600,1320,2019-12-04
Punjab,Ludhiana,Jagraon,Other,Vegetables,2.50,2200,2600,2400,2019-12-04
Punjab,Ludhiana,Khanna,Other,Vegetables,119.00,1000,1500,1300,2019-12-04
Punjab,Ludhiana,Sahnewal,Tomato,Vegetables,0.20,1600,2000,2000,2019-12-04
Punjab,Ludhiana,Samrala,Other,Vegetables,1.30,1800,2000,1900,2019-12-04
Punjab,Mansa,Mansa,Tomato,Vegetables,4.00,2000,2500,2200,2019-12-04
Punjab,Moga,Baghapurana,Tomato,Vegetables,0.40,1500,2000,1800,2019-12-04
Punjab,Mohali,Banur (Kheragaju),Deshi,Vegetables,0.40,1500,2000,2000,2019-12-04
Punjab,Mohali,Dera Bassi,Other,Vegetables,0.10,2400,2600,2500,2019-12-04
Punjab,Mohali,Kharar,Tomato,Vegetables,1.20,1200,1800,1500,2019-12-04
Punjab,Mohali,Kurali,Other,Vegetables,1.20,2500,2700,2600,2019-12-04
Punjab,Mohali,Lalru,Other,Vegetables,0.56,1800,2000,1800,2019-12-04
Punjab,Muktsar,Bariwala,Other,Vegetables,0.03,1500,1500,1500,2019-12-04
Punjab,Muktsar,Giddarbaha,Tomato,Vegetables,0.50,1300,1500,1400,2019-12-04
Punjab,Muktsar,Malout,Tomato,Vegetables,3.30,1000,1500,1400,2019-12-04
Punjab,Muktsar,Muktsar,Tomato,Vegetables,3.70,1200,1500,1350,2019-12-04
Punjab,Nawanshahr,Banga,Other,Vegetables,2.50,1208,1900,1705,2019-12-04
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Other,Vegetables,1.20,1500,2000,1800,2019-12-04
Punjab,Pathankot,Pathankot,Tomato,Vegetables,36.80,1300,1500,1400,2019-12-04
Punjab,Patiala,Nabha,Other,Vegetables,4.80,1000,1800,1400,2019-12-04
Punjab,Patiala,Patiala,Tomato,Vegetables,25.00,2500,3500,3000,2019-12-04
Punjab,Patiala,Patran,Other,Vegetables,2.30,1000,1200,1110,2019-12-04
Punjab,Patiala,Rajpura,Local,Vegetables,4.80,1200,1400,1300,2019-12-04
Punjab,Sangrur,Bhawanigarh,Other,Vegetables,1.00,1200,1400,1300,2019-12-04
Punjab,Sangrur,Dhuri,Other,Vegetables,0.20,1400,1600,1500,2019-12-04
Punjab,Sangrur,Khanauri,Other,Vegetables,0.30,2100,2300,2200,2019-12-04
Punjab,Sangrur,Malerkotla,Other,Vegetables,3.50,1700,2100,1850,2019-12-04
Punjab,Sangrur,Sangrur,Tomato,Vegetables,3.50,1200,1300,1300,2019-12-04
Punjab,Tarntaran,Patti,Other,Vegetables,0.20,2200,3000,2500,2019-12-04
Punjab,Tarntaran,Tarantaran,Other,Vegetables,0.60,1800,3000,2400,2019-12-04
-,-,-,-,Punjab Sub Total,402.60,-,-,-,
-,-,-,-,Total:-,402.60,-,-,-,
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi),Tomato,Vegetables,95.20,600,1300,1000,2019-12-05
Punjab,Amritsar,Rayya,Hybrid,Vegetables,0.30,2600,2600,2600,2019-12-05
Punjab,Bhatinda,Bathinda,Other,Vegetables,20.00,1000,1500,1000,2019-12-05
Punjab,Bhatinda,Goniana,Other,Vegetables,0.10,1500,1800,1800,2019-12-05
Punjab,Bhatinda,Maur,Other,Vegetables,0.80,1100,1300,1200,2019-12-05
Punjab,Bhatinda,Talwandi Sabo,Other,Vegetables,0.40,1000,1500,1200,2019-12-05
Punjab,Faridkot,Faridkot,Tomato,Vegetables,1.80,1000,1500,1200,2019-12-05
Punjab,Faridkot,Kotkapura,Tomato,Vegetables,2.50,2000,2500,2200,2019-12-05
Punjab,Fatehgarh,Khamano,Tomato,Vegetables,0.20,2500,2500,2500,2019-12-05
Punjab,Fatehgarh,Sirhind,Other,Vegetables,3.00,1200,1500,1300,2019-12-05
Punjab,Fazilka,Abohar,Tomato,Vegetables,4.28,1207,1382,1361,2019-12-05
Punjab,Fazilka,Jalalabad,Other,Vegetables,0.80,1500,1700,1600,2019-12-05
Punjab,Ferozpur,Ferozepur Cantt.,Tomato,Vegetables,0.10,1100,1300,1200,2019-12-05
Punjab,Ferozpur,Firozepur City,Other,Vegetables,4.30,1000,1400,1200,2019-12-05
Punjab,Ferozpur,Makhu,Other,Vegetables,0.20,1300,1500,1400,2019-12-05
Punjab,Ferozpur,Zira,Tomato,Vegetables,0.40,1300,1800,1500,2019-12-05
Punjab,Gurdaspur,Gurdaspur,Other,Vegetables,1.70,1500,2000,1800,2019-12-05
Punjab,Hoshiarpur,Dasuya,Other,Vegetables,1.50,1200,1500,1500,2019-12-05
Punjab,Hoshiarpur,Garh Shankar,Deshi,Vegetables,1.28,1400,1800,1600,2019-12-05
Punjab,Hoshiarpur,Garh Shankar(Mahalpur),Tomato,Vegetables,0.70,1400,1800,1500,2019-12-05
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi),Other,Vegetables,0.10,1500,2000,1700,2019-12-05
Punjab,Hoshiarpur,Hoshiarpur,Other,Vegetables,12.00,1500,2000,1800,2019-12-05
Punjab,Hoshiarpur,Mukerian,Tomato,Vegetables,1.30,3200,4000,3600,2019-12-05
Punjab,Hoshiarpur,Mukerian(Talwara),Tomato,Vegetables,0.28,1800,2350,2100,2019-12-05
Punjab,Jalandhar,Adampur,Other,Vegetables,0.80,1500,1800,1800,2019-12-05
Punjab,Jalandhar,Goraya,Other,Vegetables,0.20,1300,1300,1300,2019-12-05
Punjab,Jalandhar,Jalandhar City(Jalandhar),Other,Vegetables,58.70,400,1100,750,2019-12-05
Punjab,Jalandhar,Lohian Khas,Other,Vegetables,0.20,1800,2000,1900,2019-12-05
Punjab,Jalandhar,Mehatpur,Local,Vegetables,0.06,3000,3000,3000,2019-12-05
Punjab,kapurthala,Phagwara,Other,Vegetables,10.00,1200,1375,1336,2019-12-05
Punjab,Ludhiana,Jagraon,Other,Vegetables,2.50,2200,2600,2400,2019-12-05
Punjab,Ludhiana,Khanna,Other,Vegetables,164.00,1000,1500,1300,2019-12-05
Punjab,Ludhiana,Sahnewal,Tomato,Vegetables,0.10,1400,1400,1400,2019-12-05
Punjab,Ludhiana,Samrala,Other,Vegetables,1.50,1800,2200,2000,2019-12-05
Punjab,Mansa,Mansa,Tomato,Vegetables,3.00,1400,2000,1700,2019-12-05
Punjab,Moga,Baghapurana,Tomato,Vegetables,0.50,1500,2000,1800,2019-12-05
Punjab,Mohali,Banur (Kheragaju),Deshi,Vegetables,0.50,1500,1600,1600,2019-12-05
Punjab,Mohali,Dera Bassi,Other,Vegetables,0.10,1800,2200,2000,2019-12-05
Punjab,Mohali,Kharar,Tomato,Vegetables,1.20,1200,1800,1500,2019-12-05
Punjab,Mohali,Kurali,Other,Vegetables,1.10,2000,2200,2100,2019-12-05
Punjab,Mohali,Lalru,Other,Vegetables,0.56,1500,2000,1600,2019-12-05
Punjab,Muktsar,Bariwala,Other,Vegetables,0.03,1300,1300,1300,2019-12-05
Punjab,Muktsar,Giddarbaha,Tomato,Vegetables,0.50,1300,1500,1400,2019-12-05
Punjab,Muktsar,Muktsar,Tomato,Vegetables,4.00,1000,1300,1150,2019-12-05
Punjab,Nawanshahr,Banga,Other,Vegetables,2.10,1746,2033,2000,2019-12-05
Punjab,Nawanshahr,Nawan Shahar(Mandi Aur),Tomato,Vegetables,0.01,1800,1800,1800,2019-12-05
Punjab,Nawanshahr,Nawan Shahar(MandiRaho),Other,Vegetables,0.02,2800,2800,2800,2019-12-05
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Other,Vegetables,1.70,1500,2000,1800,2019-12-05
Punjab,Pathankot,Pathankot,Tomato,Vegetables,26.60,1000,1500,1250,2019-12-05
Punjab,Patiala,Dudhansadhan,Other,Vegetables,0.20,1000,1500,1300,2019-12-05
Punjab,Patiala,Nabha,Other,Vegetables,6.20,1000,1800,1400,2019-12-05
Punjab,Patiala,Patiala,Tomato,Vegetables,25.20,2500,3500,3000,2019-12-05
Punjab,Patiala,Patran,Other,Vegetables,2.60,1000,1200,1117,2019-12-05
Punjab,Patiala,Rajpura,Local,Vegetables,4.70,1400,2000,1700,2019-12-05
Punjab,Ropar (Rupnagar),Morinda,Deshi,Vegetables,2.10,1800,2000,1900,2019-12-05
Punjab,Sangrur,Bhawanigarh,Other,Vegetables,1.30,1200,1400,1300,2019-12-05
Punjab,Sangrur,Dhuri,Other,Vegetables,0.20,1400,1600,1500,2019-12-05
Punjab,Sangrur,Khanauri,Other,Vegetables,0.20,1600,1800,1700,2019-12-05
Punjab,Sangrur,Lehra Gaga,Other,Vegetables,0.40,3000,3000,3000,2019-12-05
Punjab,Sangrur,Malerkotla,Other,Vegetables,4.00,1600,2000,1800,2019-12-05
Punjab,Sangrur,Sangrur,Tomato,Vegetables,2.50,1200,1400,1300,2019-12-05
Punjab,Sangrur,Sunam,Tomato,Vegetables,1.00,1500,2000,1800,2019-12-05
Punjab,Tarntaran,Patti,Other,Vegetables,0.10,1800,2200,2000,2019-12-05
Punjab,Tarntaran,Tarantaran,Other,Vegetables,0.70,1800,3000,2400,2019-12-05
-,-,-,-,Punjab Sub Total,484.62,-,-,-,
-,-,-,-,Total:-,484.62,-,-,-,
Punjab,Amritsar,Amritsar(Amritsar Mewa Mandi),Tomato,Vegetables,83.10,600,1300,1000,2019-12-06
Punjab,Amritsar,Rayya,Hybrid,Vegetables,0.30,2500,2500,2500,2019-12-06
Punjab,Barnala,Barnala,Other,Vegetables,3.51,1200,1350,1275,2019-12-06
Punjab,Bhatinda,Bathinda,Other,Vegetables,20.00,1000,1500,1200,2019-12-06
Punjab,Bhatinda,Bhagta Bhai Ka,Other,Vegetables,0.10,1800,1800,1800,2019-12-06
Punjab,Bhatinda,Goniana,Other,Vegetables,0.20,1800,2000,2000,2019-12-06
Punjab,Bhatinda,Maur,Other,Vegetables,0.40,1100,1400,1200,2019-12-06
Punjab,Bhatinda,Raman,Other,Vegetables,0.40,1300,1550,1500,2019-12-06
Punjab,Bhatinda,Talwandi Sabo,Other,Vegetables,0.30,1200,2000,1500,2019-12-06
Punjab,Faridkot,Faridkot,Tomato,Vegetables,1.33,1000,1500,1200,2019-12-06
